facet_id,facet_name,row_kind,source_ref,source_construct,domain,subdomain,facet_type,value_polarity,text_observability,applicability_scope,score_scale,score_anchors_json,definition,embedding_text,difficulty,domain_confidence,needs_review,version
K0011,Self-improvement,facet,,,personality_trait,personality_trait,qualitative_trait,positive,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Self-improvement'."", ""-1"": ""Mild lack of 'Self-improvement'."", ""0"": ""'Self-improvement' not expressed / neutral."", ""1"": ""Moderate 'Self-improvement'."", ""2"": ""Strong, exemplary 'Self-improvement'.""}",Degree to which the turn exhibits 'Self-improvement' (personality trait).,Self-improvement | personality trait | Degree to which the turn exhibits 'Self-improvement' (personality trait).,easy,medium,False,2026.06.0
K0012,Statistical Reasoning,facet,,,cognitive_numerical,cognitive_numerical,level_score,neutral,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Very low 'Statistical Reasoning'."", ""-1"": ""Below-average 'Statistical Reasoning'."", ""0"": ""Average or not evidenced 'Statistical Reasoning'."", ""1"": ""Above-average 'Statistical Reasoning'."", ""2"": ""Very high 'Statistical Reasoning'.""}",Degree to which the turn exhibits 'Statistical Reasoning' (cognitive numerical).,Statistical Reasoning | cognitive numerical | Degree to which the turn exhibits 'Statistical Reasoning' (cognitive numerical).,easy,medium,False,2026.06.0
K0013,Assertiveness and control in relationships,facet,,,social_relational,social_relational,qualitative_trait,positive,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Assertiveness and control in relationships'."", ""-1"": ""Mild lack of 'Assertiveness and control in relationships'."", ""0"": ""'Assertiveness and control in relationships' not expressed / neutral."", ""1"": ""Moderate 'Assertiveness and control in relationships'."", ""2"": ""Strong, exemplary 'Assertiveness and control in relationships'.""}",Degree to which the turn exhibits 'Assertiveness and control in relationships' (social relational).,Assertiveness and control in relationships | social relational | Degree to which the turn exhibits 'Assertiveness and control in relationships' (social relational).,easy,medium,False,2026.06.0
K0014,Cunningness,facet,,,personality_trait,general_trait,qualitative_trait,negative,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Strong opposite of 'Cunningness' (very desirable here)."", ""-1"": ""Mild absence of 'Cunningness'."", ""0"": ""'Cunningness' not expressed in this turn."", ""1"": ""Moderate 'Cunningness' present."", ""2"": ""Strong, clear 'Cunningness' (undesirable).""}",Degree to which the turn exhibits 'Cunningness' (personality trait).,Cunningness | personality trait | Degree to which the turn exhibits 'Cunningness' (personality trait).,easy,medium,False,2026.06.0
K0015,Adventure-Seeking Behavior,facet,,,personality_trait,general_trait,qualitative_trait,bipolar,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Adventure-Seeking Behavior'."", ""-1"": ""Mild lack of 'Adventure-Seeking Behavior'."", ""0"": ""'Adventure-Seeking Behavior' not expressed / neutral."", ""1"": ""Moderate 'Adventure-Seeking Behavior'."", ""2"": ""Strong, exemplary 'Adventure-Seeking Behavior'.""}",Degree to which the turn exhibits 'Adventure-Seeking Behavior' (personality trait).,Adventure-Seeking Behavior | personality trait | Degree to which the turn exhibits 'Adventure-Seeking Behavior' (personality trait).,easy,medium,False,2026.06.0
K0016,Compassion Fatigue,facet,,,emotion_affect,emotion_affect,qualitative_trait,negative,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Strong opposite of 'Compassion Fatigue' (very desirable here)."", ""-1"": ""Mild absence of 'Compassion Fatigue'."", ""0"": ""'Compassion Fatigue' not expressed in this turn."", ""1"": ""Moderate 'Compassion Fatigue' present."", ""2"": ""Strong, clear 'Compassion Fatigue' (undesirable).""}",Degree to which the turn exhibits 'Compassion Fatigue' (emotion affect).,Compassion Fatigue | emotion affect | Degree to which the turn exhibits 'Compassion Fatigue' (emotion affect).,easy,medium,False,2026.06.0
K0017,Moroseness,facet,,,emotion_affect,emotion_affect,qualitative_trait,negative,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Strong opposite of 'Moroseness' (very desirable here)."", ""-1"": ""Mild absence of 'Moroseness'."", ""0"": ""'Moroseness' not expressed in this turn."", ""1"": ""Moderate 'Moroseness' present."", ""2"": ""Strong, clear 'Moroseness' (undesirable).""}",Degree to which the turn exhibits 'Moroseness' (emotion affect).,Moroseness | emotion affect | Degree to which the turn exhibits 'Moroseness' (emotion affect).,easy,medium,False,2026.06.0
K0018,Specialist,facet,,,personality_trait,general_trait,qualitative_trait,bipolar,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Specialist'."", ""-1"": ""Mild lack of 'Specialist'."", ""0"": ""'Specialist' not expressed / neutral."", ""1"": ""Moderate 'Specialist'."", ""2"": ""Strong, exemplary 'Specialist'.""}",Degree to which the turn exhibits 'Specialist' (personality trait).,Specialist | personality trait | Degree to which the turn exhibits 'Specialist' (personality trait).,easy,medium,False,2026.06.0
K0019,Aloofness,facet,,,personality_trait,general_trait,qualitative_trait,negative,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Strong opposite of 'Aloofness' (very desirable here)."", ""-1"": ""Mild absence of 'Aloofness'."", ""0"": ""'Aloofness' not expressed in this turn."", ""1"": ""Moderate 'Aloofness' present."", ""2"": ""Strong, clear 'Aloofness' (undesirable).""}",Degree to which the turn exhibits 'Aloofness' (personality trait).,Aloofness | personality trait | Degree to which the turn exhibits 'Aloofness' (personality trait).,easy,medium,False,2026.06.0
K0020,Genuine,facet,,,personality_trait,general_trait,qualitative_trait,positive,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Genuine'."", ""-1"": ""Mild lack of 'Genuine'."", ""0"": ""'Genuine' not expressed / neutral."", ""1"": ""Moderate 'Genuine'."", ""2"": ""Strong, exemplary 'Genuine'.""}",Degree to which the turn exhibits 'Genuine' (personality trait).,Genuine | personality trait | Degree to which the turn exhibits 'Genuine' (personality trait).,easy,medium,False,2026.06.0
K0021,Determinedness,facet,,,personality_trait,general_trait,qualitative_trait,positive,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Determinedness'."", ""-1"": ""Mild lack of 'Determinedness'."", ""0"": ""'Determinedness' not expressed / neutral."", ""1"": ""Moderate 'Determinedness'."", ""2"": ""Strong, exemplary 'Determinedness'.""}",Degree to which the turn exhibits 'Determinedness' (personality trait).,Determinedness | personality trait | Degree to which the turn exhibits 'Determinedness' (personality trait).,easy,medium,False,2026.06.0
K0022,HonestyHumility,category_header,,,personality_trait,personality_trait,qualitative_trait,positive,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'HonestyHumility'."", ""-1"": ""Mild lack of 'HonestyHumility'."", ""0"": ""'HonestyHumility' not expressed / neutral."", ""1"": ""Moderate 'HonestyHumility'."", ""2"": ""Strong, exemplary 'HonestyHumility'.""}",Degree to which the turn exhibits 'HonestyHumility' (personality trait).,HonestyHumility | personality trait | Degree to which the turn exhibits 'HonestyHumility' (personality trait).,easy,medium,False,2026.06.0
K0023,Relationship Building Themes,category_header,,,social_relational,social_relational,qualitative_trait,bipolar,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Relationship Building Themes'."", ""-1"": ""Mild lack of 'Relationship Building Themes'."", ""0"": ""'Relationship Building Themes' not expressed / neutral."", ""1"": ""Moderate 'Relationship Building Themes'."", ""2"": ""Strong, exemplary 'Relationship Building Themes'.""}",Degree to which the turn exhibits 'Relationship Building Themes' (social relational).,Relationship Building Themes | social relational | Degree to which the turn exhibits 'Relationship Building Themes' (social relational).,easy,medium,False,2026.06.0
K0024,Pure Challenge,facet,,,personality_trait,general_trait,qualitative_trait,bipolar,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Pure Challenge'."", ""-1"": ""Mild lack of 'Pure Challenge'."", ""0"": ""'Pure Challenge' not expressed / neutral."", ""1"": ""Moderate 'Pure Challenge'."", ""2"": ""Strong, exemplary 'Pure Challenge'.""}",Degree to which the turn exhibits 'Pure Challenge' (personality trait).,Pure Challenge | personality trait | Degree to which the turn exhibits 'Pure Challenge' (personality trait).,easy,medium,False,2026.06.0
K0025,Numerical Reasoning Subcomponents,category_header,,,cognitive_numerical,cognitive_numerical,level_score,neutral,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Very low 'Numerical Reasoning Subcomponents'."", ""-1"": ""Below-average 'Numerical Reasoning Subcomponents'."", ""0"": ""Average or not evidenced 'Numerical Reasoning Subcomponents'."", ""1"": ""Above-average 'Numerical Reasoning Subcomponents'."", ""2"": ""Very high 'Numerical Reasoning Subcomponents'.""}",Degree to which the turn exhibits 'Numerical Reasoning Subcomponents' (cognitive numerical).,Numerical Reasoning Subcomponents | cognitive numerical | Degree to which the turn exhibits 'Numerical Reasoning Subcomponents' (cognitive numerical).,easy,medium,False,2026.06.0
K0026,Openness,facet,,,personality_trait,personality_trait,qualitative_trait,positive,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Openness'."", ""-1"": ""Mild lack of 'Openness'."", ""0"": ""'Openness' not expressed / neutral."", ""1"": ""Moderate 'Openness'."", ""2"": ""Strong, exemplary 'Openness'.""}",Degree to which the turn exhibits 'Openness' (personality trait).,Openness | personality trait | Degree to which the turn exhibits 'Openness' (personality trait).,easy,medium,False,2026.06.0
K0027,SelfEsteem,facet,,,personality_trait,personality_trait,qualitative_trait,bipolar,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'SelfEsteem'."", ""-1"": ""Mild lack of 'SelfEsteem'."", ""0"": ""'SelfEsteem' not expressed / neutral."", ""1"": ""Moderate 'SelfEsteem'."", ""2"": ""Strong, exemplary 'SelfEsteem'.""}",Degree to which the turn exhibits 'SelfEsteem' (personality trait).,SelfEsteem | personality trait | Degree to which the turn exhibits 'SelfEsteem' (personality trait).,easy,medium,False,2026.06.0
K0028,Comparing alphanumeric data,facet,,,cognitive_numerical,cognitive_numerical,qualitative_trait,neutral,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Comparing alphanumeric data'."", ""-1"": ""Mild lack of 'Comparing alphanumeric data'."", ""0"": ""'Comparing alphanumeric data' not expressed / neutral."", ""1"": ""Moderate 'Comparing alphanumeric data'."", ""2"": ""Strong, exemplary 'Comparing alphanumeric data'.""}",Degree to which the turn exhibits 'Comparing alphanumeric data' (cognitive numerical).,Comparing alphanumeric data | cognitive numerical | Degree to which the turn exhibits 'Comparing alphanumeric data' (cognitive numerical).,easy,medium,False,2026.06.0
K0029,Big-heartedness,facet,,,personality_trait,general_trait,qualitative_trait,positive,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Big-heartedness'."", ""-1"": ""Mild lack of 'Big-heartedness'."", ""0"": ""'Big-heartedness' not expressed / neutral."", ""1"": ""Moderate 'Big-heartedness'."", ""2"": ""Strong, exemplary 'Big-heartedness'.""}",Degree to which the turn exhibits 'Big-heartedness' (personality trait).,Big-heartedness | personality trait | Degree to which the turn exhibits 'Big-heartedness' (personality trait).,easy,medium,False,2026.06.0
K0030,Compulsive activities,facet,,,lifestyle_behavior,lifestyle_behavior,qualitative_trait,negative,requires_explicit_mention,conditional,"-2,-1,0,1,2","{""-2"": ""Strong opposite of 'Compulsive activities' (very desirable here)."", ""-1"": ""Mild absence of 'Compulsive activities'."", ""0"": ""'Compulsive activities' not expressed in this turn."", ""1"": ""Moderate 'Compulsive activities' present."", ""2"": ""Strong, clear 'Compulsive activities' (undesirable).""}",Degree to which the turn exhibits 'Compulsive activities' (lifestyle behavior).,Compulsive activities | lifestyle behavior | Degree to which the turn exhibits 'Compulsive activities' (lifestyle behavior).,medium,medium,False,2026.06.0
K0031,Disrespect,facet,,,safety,safety,qualitative_trait,negative,observable,universal,"-2,-1,0,1,2","{""-2"": ""Strong opposite of 'Disrespect' (very desirable here)."", ""-1"": ""Mild absence of 'Disrespect'."", ""0"": ""'Disrespect' not expressed in this turn."", ""1"": ""Moderate 'Disrespect' present."", ""2"": ""Strong, clear 'Disrespect' (undesirable).""}",Degree to which the turn exhibits 'Disrespect' (safety).,Disrespect | safety | Degree to which the turn exhibits 'Disrespect' (safety).,easy,medium,False,2026.06.0
K0032,FSH level,facet,,,clinical_health,clinical_health,level_score,neutral,requires_external_data,rare,"-2,-1,0,1,2","{""-2"": ""Very low 'FSH level'."", ""-1"": ""Below-average 'FSH level'."", ""0"": ""Average or not evidenced 'FSH level'."", ""1"": ""Above-average 'FSH level'."", ""2"": ""Very high 'FSH level'.""}",Degree to which the turn exhibits 'FSH level' (clinical health).,FSH level | clinical health | Degree to which the turn exhibits 'FSH level' (clinical health).,hard,medium,True,2026.06.0
K0033,Self Perspective,facet,,,personality_trait,general_trait,qualitative_trait,bipolar,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Self Perspective'."", ""-1"": ""Mild lack of 'Self Perspective'."", ""0"": ""'Self Perspective' not expressed / neutral."", ""1"": ""Moderate 'Self Perspective'."", ""2"": ""Strong, exemplary 'Self Perspective'.""}",Degree to which the turn exhibits 'Self Perspective' (personality trait).,Self Perspective | personality trait | Degree to which the turn exhibits 'Self Perspective' (personality trait).,easy,medium,False,2026.06.0
K0034,Desperation,facet,,,emotion_affect,emotion_affect,qualitative_trait,negative,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Strong opposite of 'Desperation' (very desirable here)."", ""-1"": ""Mild absence of 'Desperation'."", ""0"": ""'Desperation' not expressed in this turn."", ""1"": ""Moderate 'Desperation' present."", ""2"": ""Strong, clear 'Desperation' (undesirable).""}",Degree to which the turn exhibits 'Desperation' (emotion affect).,Desperation | emotion affect | Degree to which the turn exhibits 'Desperation' (emotion affect).,easy,medium,False,2026.06.0
K0035,Affiliation Motivation,category_header,,,social_relational,social_relational,qualitative_trait,bipolar,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Affiliation Motivation'."", ""-1"": ""Mild lack of 'Affiliation Motivation'."", ""0"": ""'Affiliation Motivation' not expressed / neutral."", ""1"": ""Moderate 'Affiliation Motivation'."", ""2"": ""Strong, exemplary 'Affiliation Motivation'.""}",Degree to which the turn exhibits 'Affiliation Motivation' (social relational).,Affiliation Motivation | social relational | Degree to which the turn exhibits 'Affiliation Motivation' (social relational).,easy,medium,False,2026.06.0
K0036,Anatomy knowledge,facet,,,clinical_health,clinical_health,qualitative_trait,neutral,requires_external_data,rare,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Anatomy knowledge'."", ""-1"": ""Mild lack of 'Anatomy knowledge'."", ""0"": ""'Anatomy knowledge' not expressed / neutral."", ""1"": ""Moderate 'Anatomy knowledge'."", ""2"": ""Strong, exemplary 'Anatomy knowledge'.""}",Degree to which the turn exhibits 'Anatomy knowledge' (clinical health).,Anatomy knowledge | clinical health | Degree to which the turn exhibits 'Anatomy knowledge' (clinical health).,hard,medium,True,2026.06.0
K0037,Passive-Aggressive,facet,,,personality_trait,general_trait,qualitative_trait,negative,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Strong opposite of 'Passive-Aggressive' (very desirable here)."", ""-1"": ""Mild absence of 'Passive-Aggressive'."", ""0"": ""'Passive-Aggressive' not expressed in this turn."", ""1"": ""Moderate 'Passive-Aggressive' present."", ""2"": ""Strong, clear 'Passive-Aggressive' (undesirable).""}",Degree to which the turn exhibits 'Passive-Aggressive' (personality trait).,Passive-Aggressive | personality trait | Degree to which the turn exhibits 'Passive-Aggressive' (personality trait).,easy,medium,False,2026.06.0
K0038,Presence of Spiritual Pain,facet,,,spiritual_religious,spiritual_religious,qualitative_trait,negative,requires_explicit_mention,conditional,"-2,-1,0,1,2","{""-2"": ""Strong opposite of 'Presence of Spiritual Pain' (very desirable here)."", ""-1"": ""Mild absence of 'Presence of Spiritual Pain'."", ""0"": ""'Presence of Spiritual Pain' not expressed in this turn."", ""1"": ""Moderate 'Presence of Spiritual Pain' present."", ""2"": ""Strong, clear 'Presence of Spiritual Pain' (undesirable).""}",Degree to which the turn exhibits 'Presence of Spiritual Pain' (spiritual religious).,Presence of Spiritual Pain | spiritual religious | Degree to which the turn exhibits 'Presence of Spiritual Pain' (spiritual religious).,medium,medium,False,2026.06.0
K0039,Role of Spirituality in Community Involvement,facet,,,spiritual_religious,spiritual_religious,qualitative_trait,neutral,requires_explicit_mention,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Role of Spirituality in Community Involvement'."", ""-1"": ""Mild lack of 'Role of Spirituality in Community Involvement'."", ""0"": ""'Role of Spirituality in Community Involvement' not expressed / neutral."", ""1"": ""Moderate 'Role of Spirituality in Community Involvement'."", ""2"": ""Strong, exemplary 'Role of Spirituality in Community Involvement'.""}",Degree to which the turn exhibits 'Role of Spirituality in Community Involvement' (spiritual religious).,Role of Spirituality in Community Involvement | spiritual religious | Degree to which the turn exhibits 'Role of Spirituality in Community Involvement' (spiritual religious).,medium,medium,False,2026.06.0
K0040,Structure,facet,,,personality_trait,general_trait,qualitative_trait,positive,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Structure'."", ""-1"": ""Mild lack of 'Structure'."", ""0"": ""'Structure' not expressed / neutral."", ""1"": ""Moderate 'Structure'."", ""2"": ""Strong, exemplary 'Structure'.""}",Degree to which the turn exhibits 'Structure' (personality trait).,Structure | personality trait | Degree to which the turn exhibits 'Structure' (personality trait).,easy,medium,False,2026.06.0
K0041,Eco-tourism trips,facet,,,lifestyle_behavior,lifestyle_behavior,frequency_count,neutral,requires_explicit_mention,conditional,"-2,-1,0,1,2","{""-2"": ""No evidence; 'Eco-tourism trips' never indicated."", ""-1"": ""Rare / minimal indication of 'Eco-tourism trips'."", ""0"": ""Unstated or moderate level of 'Eco-tourism trips'."", ""1"": ""Frequent / clear indication of 'Eco-tourism trips'."", ""2"": ""Very high / extreme 'Eco-tourism trips'.""}",Degree to which the turn reveals the frequency/amount of 'Eco-tourism trips' (lifestyle behavior).,Eco-tourism trips | lifestyle behavior | Degree to which the turn reveals the frequency/amount of 'Eco-tourism trips' (lifestyle behavior).,medium,medium,False,2026.06.0
K0042,Chivalrousness,facet,,,values_morality,values_morality,qualitative_trait,bipolar,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Chivalrousness'."", ""-1"": ""Mild lack of 'Chivalrousness'."", ""0"": ""'Chivalrousness' not expressed / neutral."", ""1"": ""Moderate 'Chivalrousness'."", ""2"": ""Strong, exemplary 'Chivalrousness'.""}",Degree to which the turn exhibits 'Chivalrousness' (values morality).,Chivalrousness | values morality | Degree to which the turn exhibits 'Chivalrousness' (values morality).,easy,medium,False,2026.06.0
K0043,Pilgrimage participation count,facet,,,spiritual_religious,spiritual_religious,frequency_count,neutral,requires_external_data,rare,"-2,-1,0,1,2","{""-2"": ""No evidence; 'Pilgrimage participation count' never indicated."", ""-1"": ""Rare / minimal indication of 'Pilgrimage participation count'."", ""0"": ""Unstated or moderate level of 'Pilgrimage participation count'."", ""1"": ""Frequent / clear indication of 'Pilgrimage participation count'."", ""2"": ""Very high / extreme 'Pilgrimage participation count'.""}",Degree to which the turn reveals the frequency/amount of 'Pilgrimage participation count' (spiritual religious).,Pilgrimage participation count | spiritual religious | Degree to which the turn reveals the frequency/amount of 'Pilgrimage participation count' (spiritual religious).,hard,medium,True,2026.06.0
K0044,Observing,facet,,Mindfulness facet,spiritual_religious,Mindfulness facet,qualitative_trait,neutral,requires_explicit_mention,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Observing'."", ""-1"": ""Mild lack of 'Observing'."", ""0"": ""'Observing' not expressed / neutral."", ""1"": ""Moderate 'Observing'."", ""2"": ""Strong, exemplary 'Observing'.""}",Degree to which the turn exhibits 'Observing' (spiritual religious).,Observing | Mindfulness facet | spiritual religious | Degree to which the turn exhibits 'Observing' (spiritual religious).,medium,high,False,2026.06.0
K0045,Submissiveness,facet,,,social_relational,social_relational,qualitative_trait,negative,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Strong opposite of 'Submissiveness' (very desirable here)."", ""-1"": ""Mild absence of 'Submissiveness'."", ""0"": ""'Submissiveness' not expressed in this turn."", ""1"": ""Moderate 'Submissiveness' present."", ""2"": ""Strong, clear 'Submissiveness' (undesirable).""}",Degree to which the turn exhibits 'Submissiveness' (social relational).,Submissiveness | social relational | Degree to which the turn exhibits 'Submissiveness' (social relational).,easy,medium,False,2026.06.0
K0046,Training-cycle length,facet,,,clinical_health,clinical_health,qualitative_trait,neutral,requires_external_data,rare,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Training-cycle length'."", ""-1"": ""Mild lack of 'Training-cycle length'."", ""0"": ""'Training-cycle length' not expressed / neutral."", ""1"": ""Moderate 'Training-cycle length'."", ""2"": ""Strong, exemplary 'Training-cycle length'.""}",Degree to which the turn exhibits 'Training-cycle length' (clinical health).,Training-cycle length | clinical health | Degree to which the turn exhibits 'Training-cycle length' (clinical health).,hard,medium,True,2026.06.0
K0047,Sensitiveness,facet,,,emotion_affect,emotion_affect,qualitative_trait,bipolar,observable,conditional,"-2,-1,0,1,2","{""-2"": ""Pronounced opposite of 'Sensitiveness'."", ""-1"": ""Mild lack of 'Sensitiveness'."", ""0"": ""'Sensitiveness' not expressed / neutral."", ""1"": ""Moderate 'Sensitiveness'."", ""2"": ""Strong, exemplary 'Sensitiveness'.""}",Degree to which the turn exhibits 'Sensitiveness' (emotion affect).,Sensitiveness | emotion affect | Degree to which the turn exhibits 'Sensitiveness' (emotion affect).,easy,medium,False,2026.06.0
